Date,Year,Population,Temperature,CPI,GDP,Peak
2009-04,-0.30000000000001137,-0.07020597737162859,0.19182200939047434,-0.25518825440473414,-0.40769204498299194,-0.1534967800248559
2009-05,-0.30000000000001137,-0.07426747780679221,0.16837041591296398,-0.2437043725340784,-0.40769204498299194,-0.29104056038865656
2009-06,-0.30000000000001137,-0.07832898172323866,0.14491882243545717,-0.2437043725340784,-0.40769204498299194,-0.2890859789854252
2009-07,-0.30000000000001137,-0.08239048563968865,0.12146722895794682,-0.2437043725340784,-0.3545661975212071,-0.3273980341204381
2009-08,-0.30000000000001137,-0.08645198607484872,0.09801563548044001,-0.2437043725340784,-0.3545661975212071,-0.24241328663427852
2009-09,-0.30000000000001137,-0.09051348999129871,0.0745640420029332,-0.23222049115558896,-0.3545661975212071,-0.27636425262682174
2009-10,-0.30000000000001137,-0.0945749939077487,0.05111244852542285,-0.23222049115558896,-0.12434443196757794,-0.26929160546830877
2009-11,-0.30000000000001137,-0.09863649434290878,0.02766085504791249,-0.23222049115558896,-0.12434443196757794,-0.18069144729409103
2009-12,-0.30000000000001137,-0.10269799825935877,0.004209261570405687,-0.23222049115558896,-0.12434443196757794,-0.2844763303581517
2010-01,-0.20000000000001705,0.1308384090513428,0.8893565870242277,-0.0033631375577360956,0.01566113132632818,-0.2749971754603999
2010-02,-0.20000000000001705,0.12068465448215449,0.8508719159941407,-0.0033631375577360956,0.01566113132632818,-0.1729974014235678
2010-03,-0.20000000000001705,0.11053089643167624,0.8123872521799314,-0.0033631375577360956,0.01566113132632818,-0.01123601852897993
2010-04,-0.20000000000001705,0.100377138381198,0.773902588365722,-0.0033631375577360956,-0.17779096153388974,0.05583775844537353
2010-05,-0.20000000000001705,0.09022338381200967,0.7354179173356385,-0.0491346082773072,-0.17779096153388974,0.06851203253869631
2010-06,-0.20000000000001705,0.08006962576153143,0.6969332535214257,-0.0491346082773072,-0.17779096153388974,-0.018777539261100262
2010-07,-0.20000000000001705,0.06991586771104963,0.6584485897072199,-0.0491346082773072,-0.20382894283060748,-0.06078409219297232
2010-08,-0.20000000000001705,0.059762113141861306,0.6199639186771329,-0.0491346082773072,-0.20382894283060748,-0.1706112303694498
2010-09,-0.20000000000001705,0.04960835509138306,0.5814792548629235,-0.09490607899687742,-0.20382894283060748,-0.13428200203366814
2010-10,-0.20000000000001705,0.03945459704090126,0.5429945910487142,-0.09490607899687742,-0.02631334936645313,-0.18404925997062493
2010-11,-0.20000000000001705,0.029300842471709387,0.5045099200186307,-0.09490607899687742,-0.02631334936645313,-0.1252683312620042
2010-12,-0.20000000000001705,0.019147084421234695,0.4660252562044178,-0.09490607899687742,-0.02631334936645313,-0.12442661846119085
