,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
all_flags,Population005CPI2GDP2,Population005CPI3GDP2,Population005CPI4GDP2,Population01CPI2GDP2,Population01CPI3GDP2,Population01CPI4GDP2,Population015CPI2GDP2,Population015CPI3GDP2,Population015CPI4GDP2,Population005CPI2GDP3,Population005CPI3GDP3,Population005CPI4GDP3,Population01CPI2GDP3,Population01CPI3GDP3,Population01CPI4GDP3,Population015CPI2GDP3,Population015CPI3GDP3,Population015CPI4GDP3,Population005CPI2GDP4,Population005CPI3GDP4,Population005CPI4GDP4,Population01CPI2GDP4,Population01CPI3GDP4,Population01CPI4GDP4,Population015CPI2GDP4,Population015CPI3GDP4,Population015CPI4GDP4
2028-06,26626.416015625,26626.416015625,26626.416015625,26762.76953125,26762.76953125,26762.76953125,28049.09375,28049.09375,28049.09375,26626.416015625,26626.416015625,26626.416015625,26762.76953125,26762.76953125,26762.76953125,28049.09375,28049.09375,28049.09375,26626.416015625,26626.416015625,26626.416015625,26762.76953125,26762.76953125,26762.76953125,28049.09375,28049.09375,28049.09375
2028-07,26560.375,26560.375,26560.375,26856.3984375,26856.3984375,26856.3984375,28526.74609375,28526.74609375,28526.74609375,26560.375,26560.375,26560.375,26856.3984375,26856.3984375,26856.3984375,28526.74609375,28526.74609375,28526.74609375,26560.375,26560.375,26560.375,26856.3984375,26856.3984375,26856.3984375,28526.74609375,28526.74609375,28526.74609375
2028-08,26649.712890625,26649.712890625,26649.712890625,27009.224609375,27009.224609375,27009.224609375,28631.21484375,28631.21484375,28631.21484375,26649.712890625,26649.712890625,26649.712890625,27009.224609375,27009.224609375,27009.224609375,28631.21484375,28631.21484375,28631.21484375,26649.712890625,26649.712890625,26649.712890625,27009.224609375,27009.224609375,27009.224609375,28631.21484375,28631.21484375,28631.21484375
2028-09,26530.5546875,26530.5546875,26530.5546875,26858.369140625,26858.369140625,26858.369140625,27836.8671875,27836.8671875,27836.8671875,26530.5546875,26530.5546875,26530.5546875,26858.369140625,26858.369140625,26858.369140625,27836.8671875,27836.8671875,27836.8671875,26530.5546875,26530.5546875,26530.5546875,26858.369140625,26858.369140625,26858.369140625,27836.8671875,27836.8671875,27836.8671875
2028-10,26510.69921875,26510.69921875,26510.69921875,26666.517578125,26666.517578125,26666.517578125,27715.068359375,27715.068359375,27715.068359375,26510.69921875,26510.69921875,26510.69921875,26666.517578125,26666.517578125,26666.517578125,27715.068359375,27715.068359375,27715.068359375,26510.69921875,26510.69921875,26510.69921875,26666.517578125,26666.517578125,26666.517578125,27715.068359375,27715.068359375,27715.068359375
2028-11,26510.69921875,26510.69921875,26510.69921875,26666.517578125,26666.517578125,26666.517578125,27304.12890625,27304.12890625,27304.12890625,26510.69921875,26510.69921875,26510.69921875,26666.517578125,26666.517578125,26666.517578125,27304.12890625,27304.12890625,27304.12890625,26510.69921875,26510.69921875,26510.69921875,26666.517578125,26666.517578125,26666.517578125,27304.12890625,27304.12890625,27304.12890625
2028-12,26555.03125,26555.03125,26555.03125,26767.92578125,26767.92578125,26767.92578125,26972.595703125,26972.595703125,26972.595703125,26555.03125,26555.03125,26555.03125,26767.92578125,26767.92578125,26767.92578125,26972.595703125,26972.595703125,26972.595703125,26555.03125,26555.03125,26555.03125,26767.92578125,26767.92578125,26767.92578125,26972.595703125,26972.595703125,26972.595703125
2029-01,26095.83203125,26095.83203125,26095.83203125,26268.392578125,26268.392578125,26268.392578125,25907.44921875,25907.44921875,25907.44921875,26095.83203125,26095.83203125,26095.83203125,26268.392578125,26268.392578125,26268.392578125,25907.44921875,25907.44921875,25907.44921875,26095.83203125,26095.83203125,26095.83203125,26268.392578125,26268.392578125,26268.392578125,25907.44921875,25907.44921875,25907.44921875
2029-02,26630.17578125,26630.17578125,26630.17578125,26804.94140625,26804.94140625,26804.94140625,26436.625,26436.625,26436.625,26630.17578125,26630.17578125,26630.17578125,26804.94140625,26804.94140625,26804.94140625,26436.625,26436.625,26436.625,26630.17578125,26630.17578125,26630.17578125,26804.94140625,26804.94140625,26804.94140625,26436.625,26436.625,26436.625
2029-03,26766.828125,26766.828125,26766.828125,26936.736328125,26936.736328125,26936.736328125,26583.638671875,26583.638671875,26583.638671875,26766.828125,26766.828125,26766.828125,26936.736328125,26936.736328125,26936.736328125,26583.638671875,26583.638671875,26583.638671875,26766.828125,26766.828125,26766.828125,26936.736328125,26936.736328125,26936.736328125,26583.638671875,26583.638671875,26583.638671875
2029-04,26971.6953125,26971.6953125,26971.6953125,27140.2890625,27140.2890625,27140.2890625,26782.736328125,26782.736328125,26782.736328125,26971.6953125,26971.6953125,26971.6953125,27140.2890625,27140.2890625,27140.2890625,26782.736328125,26782.736328125,26782.736328125,26971.6953125,26971.6953125,26971.6953125,27140.2890625,27140.2890625,27140.2890625,26782.736328125,26782.736328125,26782.736328125
2029-05,26991.63671875,26991.63671875,26991.63671875,27237.783203125,27237.783203125,27237.783203125,26806.884765625,26806.884765625,26806.884765625,26991.63671875,26991.63671875,26991.63671875,27237.783203125,27237.783203125,27237.783203125,26806.884765625,26806.884765625,26806.884765625,26991.63671875,26991.63671875,26991.63671875,27237.783203125,27237.783203125,27237.783203125,26806.884765625,26806.884765625,26806.884765625
2029-06,26770.962890625,26770.962890625,26770.962890625,27066.5703125,27066.5703125,27066.5703125,26587.720703125,26587.720703125,26587.720703125,26770.962890625,26770.962890625,26770.962890625,27066.5703125,27066.5703125,27066.5703125,26587.720703125,26587.720703125,26587.720703125,26770.962890625,26770.962890625,26770.962890625,27066.5703125,27066.5703125,27066.5703125,26587.720703125,26587.720703125,26587.720703125
2029-07,26539.359375,26539.359375,26539.359375,26830.619140625,26830.619140625,26830.619140625,26357.703125,26357.703125,26357.703125,26539.359375,26539.359375,26539.359375,26830.619140625,26830.619140625,26830.619140625,26357.703125,26357.703125,26357.703125,26539.359375,26539.359375,26539.359375,26830.619140625,26830.619140625,26830.619140625,26357.703125,26357.703125,26357.703125
2029-08,26603.345703125,26603.345703125,26603.345703125,26893.07421875,26893.07421875,26893.07421875,26317.2890625,26317.2890625,26317.2890625,26603.345703125,26603.345703125,26603.345703125,26893.07421875,26893.07421875,26893.07421875,26317.2890625,26317.2890625,26317.2890625,26603.345703125,26603.345703125,26603.345703125,26893.07421875,26893.07421875,26893.07421875,26317.2890625,26317.2890625,26317.2890625
2029-09,26614.1796875,26614.1796875,26614.1796875,26904.02734375,26904.02734375,26904.02734375,26328.0078125,26328.0078125,26328.0078125,26614.1796875,26614.1796875,26614.1796875,26904.02734375,26904.02734375,26904.02734375,26328.0078125,26328.0078125,26328.0078125,26614.1796875,26614.1796875,26614.1796875,26904.02734375,26904.02734375,26904.02734375,26328.0078125,26328.0078125,26328.0078125
2029-10,26680.40625,26680.40625,26680.40625,27027.853515625,27027.853515625,27027.853515625,26336.796875,26336.796875,26336.796875,26680.40625,26680.40625,26680.40625,27027.853515625,27027.853515625,27027.853515625,26336.796875,26336.796875,26336.796875,26680.40625,26680.40625,26680.40625,27027.853515625,27027.853515625,27027.853515625,26336.796875,26336.796875,26336.796875
2029-11,26897.767578125,26897.767578125,26897.767578125,27302.41015625,27302.41015625,27302.41015625,26288.8671875,26288.8671875,26288.8671875,26897.767578125,26897.767578125,26897.767578125,27302.41015625,27302.41015625,27302.41015625,26288.8671875,26288.8671875,26288.8671875,26897.767578125,26897.767578125,26897.767578125,27302.41015625,27302.41015625,27302.41015625,26288.8671875,26288.8671875,26288.8671875
2029-12,26421.046875,26421.046875,26421.046875,26820.794921875,26820.794921875,26820.794921875,25942.0625,25942.0625,25942.0625,26421.046875,26421.046875,26421.046875,26820.794921875,26820.794921875,26820.794921875,25942.0625,25942.0625,25942.0625,26421.046875,26421.046875,26421.046875,26820.794921875,26820.794921875,26820.794921875,25942.0625,25942.0625,25942.0625
2030-01,26631.6484375,26631.6484375,26631.6484375,27076.716796875,27076.716796875,27076.716796875,26088.142578125,26088.142578125,26088.142578125,26631.6484375,26631.6484375,26631.6484375,27076.716796875,27076.716796875,27076.716796875,26088.142578125,26088.142578125,26088.142578125,26631.6484375,26631.6484375,26631.6484375,27076.716796875,27076.716796875,27076.716796875,26088.142578125,26088.142578125,26088.142578125
2030-02,26647.044921875,26647.044921875,26647.044921875,27023.548828125,27023.548828125,27023.548828125,26103.224609375,26103.224609375,26103.224609375,26647.044921875,26647.044921875,26647.044921875,27023.548828125,27023.548828125,27023.548828125,26103.224609375,26103.224609375,26103.224609375,26647.044921875,26647.044921875,26647.044921875,27023.548828125,27023.548828125,27023.548828125,26103.224609375,26103.224609375,26103.224609375
2030-03,26631.6484375,26631.6484375,26631.6484375,26993.232421875,26993.232421875,26993.232421875,26088.142578125,26088.142578125,26088.142578125,26631.6484375,26631.6484375,26631.6484375,26993.232421875,26993.232421875,26993.232421875,26088.142578125,26088.142578125,26088.142578125,26631.6484375,26631.6484375,26631.6484375,26993.232421875,26993.232421875,26993.232421875,26088.142578125,26088.142578125,26088.142578125
2030-04,26713.173828125,26713.173828125,26713.173828125,26905.20703125,26905.20703125,26905.20703125,26088.142578125,26088.142578125,26088.142578125,26713.173828125,26713.173828125,26713.173828125,26905.20703125,26905.20703125,26905.20703125,26088.142578125,26088.142578125,26088.142578125,26713.173828125,26713.173828125,26713.173828125,26905.20703125,26905.20703125,26905.20703125,26088.142578125,26088.142578125,26088.142578125
